Setting Name	Current Value	Default Value	Used In	Classification	Notes
ENVIRONMENT	development	development	config_v2.py, app_factory.py	env-only	Core environment detection
IS_PRODUCTION	false	false	config_v2.py	env-only	Derived from ENVIRONMENT
DEBUG_MODE	false	false	config_v2.py	env-only	Debug toggle
ANTHROPIC_API_KEY	<secret>	None	config_v2.py	env-only	API key - must be secret
GOOGLE_API_KEY	<secret>	None	config_v2.py	env-only	API key - must be secret
GITHUB_TOKEN	<secret>	None	config_v2.py	env-only	Optional git integration
ADMIN_DEFAULT_PASSWORD	<secret>	None	config_v2.py, admin_auth.py	env-only	Admin password - must be secret
ADMIN_DEFAULT_USERNAME	admin	admin	config_v2.py, admin_auth.py	env-only	Admin username
ADMIN_DEFAULT_EMAIL	None	None	admin_auth.py	env-only	Admin email
PUBLIC_API_URL	https://nickberens-astro-production.up.railway.app	https://nickberens-astro-production.up.railway.app	config_v2.py	env-only	Deployment-specific
PUBLIC_GITHUB_USERNAME	nickberens360	nickberens360	config_v2.py	env-only	Deployment-specific
PUBLIC_GITHUB_REPO	nickberens-astro	nickberens-astro	config_v2.py	env-only	Deployment-specific
PUBLIC_GA_TRACKING_ID	G-YRSSE66Z31	G-YRSSE66Z31	config_v2.py	env-only	Google Analytics
RAILWAY_ENVIRONMENT_NAME	None	None	main.py	env-only	Railway deployment
RAILWAY_RUN_UID	None	None	main.py	env-only	Railway deployment
RAILWAY_VOLUME_MOUNT_PATH	None	None	main.py	env-only	Railway deployment
RAILWAY_VOLUME_NAME	None	None	main.py	env-only	Railway deployment
CORS_ORIGINS	None	calculated	config_v2.py	env-only	CORS configuration
IP_HASH_SALT	<generated>	<generated>	config_v2.py	env-only	IP anonymization salt
API_KEY_ENCRYPTION_SECRET	<secret>	None	api_key_manager.py	env-only	API key encryption
TESTING	false	false	app_factory.py	env-only	Test environment flag
SKIP_INDEXING	false	false	main.py, app_initializer_v2.py	env-only	Skip data indexing on startup
FORCE_REBUILD_DATA	false	false	semantic_searcher.py, content_indexer.py	env-only	Force rebuild indices
UNIFIED_PERSIST_DIR	backend/.unified_chroma	backend/.unified_chroma	diagnostics/__main__.py	env-only	ChromaDB persistence directory
