Setting Key	Setting Class	Field Name	Type	Default Value	Classification	Description
followup_settings	FollowUpSettings	enabled	bool	true	admin-managed	Enable follow-up questions
followup_settings	FollowUpSettings	service_type	str	static	admin-managed	Follow-up generation type (static/dynamic/contextual)
followup_settings	FollowUpSettings	max_questions	int	1	admin-managed	Maximum follow-up questions
followup_settings	FollowUpSettings	relevance_threshold	float	0.7	admin-managed	Relevance threshold (0.1-1.0)
followup_settings	FollowUpSettings	include_technical	bool	true	admin-managed	Include technical questions
followup_settings	FollowUpSettings	include_personal	bool	true	admin-managed	Include personal questions
followup_settings	FollowUpSettings	include_creative	bool	true	admin-managed	Include creative questions
followup_settings	FollowUpSettings	question_style	str	conversational	admin-managed	Question style (formal/conversational/exploratory)
followup_settings	FollowUpSettings	custom_questions	Dict	{}	admin-managed	Custom questions by category
response_settings	ResponseSettings	max_context_length	int	2000	admin-managed	Maximum context length in tokens
response_settings	ResponseSettings	max_context_documents	int	3	admin-managed	Maximum number of context documents
response_settings	ResponseSettings	context_fill_ratio	float	0.7	admin-managed	Context fill ratio
response_settings	ResponseSettings	enable_caching	bool	true	admin-managed	Enable general caching
response_settings	ResponseSettings	enable_response_caching	bool	true	admin-managed	Enable response caching
response_settings	ResponseSettings	cache_ttl_seconds	int	3600	admin-managed	Cache TTL in seconds
response_settings	ResponseSettings	response_cache_ttl_seconds	int	3600	admin-managed	Legacy response cache TTL
response_settings	ResponseSettings	preferred_response_length	str	medium	admin-managed	Response length (brief/medium/detailed/comprehensive)
response_settings	ResponseSettings	response_style	str	conversational	admin-managed	Response style (professional/conversational/technical/casual)
response_settings	ResponseSettings	include_sources	bool	true	admin-managed	Include source citations
response_settings	ResponseSettings	source_format	str	numbered	admin-managed	Source format (numbered/bulleted/inline)
response_settings	ResponseSettings	max_sources	int	5	admin-managed	Maximum sources to include
response_settings	ResponseSettings	enable_markdown	bool	true	admin-managed	Enable markdown formatting
response_settings	ResponseSettings	enable_code_highlighting	bool	true	admin-managed	Enable code syntax highlighting
response_settings	ResponseSettings	response_llm	str	claude	admin-managed	Response LLM (claude/gemini)
response_settings	ResponseSettings	response_claude_model	str	claude-3-5-sonnet-20241022	admin-managed	Claude model for responses
response_settings	ResponseSettings	response_gemini_model	str	gemini-1.5-flash	admin-managed	Gemini model for responses
response_settings	ResponseSettings	enable_smart_selection	bool	true	admin-managed	Enable complexity-based model switching
routing_settings	QueryRoutingSettings	classification_method	str	fast	admin-managed	Classification method (fast/llm)
routing_settings	QueryRoutingSettings	confidence_threshold	float	0.7	admin-managed	Routing confidence threshold
routing_settings	QueryRoutingSettings	enable_multi_route	bool	false	admin-managed	Enable multi-route queries
routing_settings	QueryRoutingSettings	max_routes	int	2	admin-managed	Maximum number of routes
routing_settings	QueryRoutingSettings	route_weights	Dict	{}	admin-managed	Custom route weights
routing_settings	QueryRoutingSettings	default_route	str	comprehensive	admin-managed	Default route if uncertain
feature_flags	FeatureFlags	enable_streaming	bool	true	admin-managed	Enable streaming responses
feature_flags	FeatureFlags	enable_followup_questions	bool	true	admin-managed	Enable follow-up questions
feature_flags	FeatureFlags	enable_source_citations	bool	true	admin-managed	Enable source citations
feature_flags	FeatureFlags	enable_query_logging	bool	true	admin-managed	Enable query logging
feature_flags	FeatureFlags	enable_admin_ui	bool	true	admin-managed	Enable admin UI
